"","GEOID","NAME","RiskFactor1_percent","IncomePoverty_ratio","Total","Occupants_Above1","Occupants_Above1_point5","Married_Above65","NoSpouse_MaleHH_Above65","NoSpouse_FemaleHH_Above65","Living_Alone","RiskFactor3_percent","RiskFactor2_percent","LanguageBarrier_Total","RiskFactor4a_percent","EducationalBarrier_Total","RiskFactor4b_percent","Above16_Unemployed_Total","RiskFactor5_percent","Disability_Total","RiskFactor6_percent","Total_Uninsured","RiskFactor7_percent","pop_64above_total","RiskFactor8_percent"
"1","17051","Fayette County, Illinois",25.7,2.12431693989071,7737,32,108,1232,49,136,2081,1.80948688122011,45.2113222179139,21,0.3,2893,16.9072526444977,525,3,3527,17.7,1644,8.2,1674,7.76257825179689
"2","17107","Logan County, Illinois",17.7,2.60965391621129,10797,65,3,1432,49,165,3331,0.629804575345003,46.09613781606,43,0.4,2811,12.0148743374936,738,3.1,3917,15.2,1154,4.5,1898,6.54415060510982
"3","17165","Saline County, Illinois",31.2,2.00774134790528,9972,149,48,1312,44,128,2996,1.97553148816687,44.925792218211,42,0.4,2582,13.7355037769976,816,4.2,5240,22.3,993,4.2,1886,7.86029840793532
"4","17097","Lake County, Illinois",12.2,4.07226775956284,246122,4370,1265,27955,1193,3281,55252,2.28951495599743,35.6250152363462,11790,4.8,51096,9.64208277743916,19357,3.5,62508,9.1,46304,6.8,39401,5.61689473436611
"5","17127","Massac County, Illinois",27.6,2.16215846994536,5822,97,84,812,105,70,1721,3.10889728615596,46.5132256956372,2,0,1556,14.1261915569678,259,2.3,2892,20.7,752,5.4,1167,8.20732822280048
"6","17017","Cass County, Illinois",21.2,2.38492714025501,5043,85,7,565,48,89,1432,1.82431092603609,42.3160816974023,362,7.2,1618,17.1216931216931,414,4.2,1603,13,675,5.5,910,7.2840790842872
"7","17139","Moultrie County, Illinois",16.3,2.79854280510018,5959,182,10,721,22,128,1660,3.22201711696593,42.4735693908374,39,0.7,1799,16.40674874601,216,1.9,1832,12.8,2296,16,1104,7.54046854723038
"8","17149","Pike County, Illinois",26,2.16265938069217,6309,35,26,908,47,56,1987,0.966872721508955,47.5194167062926,0,0,1378,11.3612004287245,434,3.5,2533,16.6,740,4.9,1278,8.15467075038285
"9","17151","Pope County, Illinois",30.3,1.73296903460838,1694,26,0,323,22,14,714,1.53482880755608,63.3412042502952,0,0,564,15.7674028515516,212,5.9,1055,26.1,160,4,491,11.6821318106115
"10","17163","St. Clair County, Illinois",22.8,2.51270491803279,104105,979,283,10259,560,2141,33776,1.21223764468565,44.8931367369483,947,0.9,19462,9.706781579958,8750,4.2,34585,13.5,15836,6.2,15219,5.80129451318528
"11","17173","Shelby County, Illinois",21,2.41133879781421,9189,112,84,1471,37,210,2522,2.13298509086952,46.1421264555447,3,0,1368,7.99859673741449,482,2.7,2749,12.8,830,3.9,1957,9.0030823020656
"12","17019","Champaign County, Illinois",26.5,2.4042349726776,82369,722,3424,6759,345,793,30076,5.03344704925397,46.1010817176365,3341,4.1,7949,4.666631442376,5191,3,18653,9,8262,4,10149,4.8346528710664
"13","17013","Calhoun County, Illinois",21.8,2.86926229508197,1664,12,0,319,0,31,470,0.721153846153846,49.2788461538462,0,0,402,10.520806071709,63,1.6,1049,22.1,65,1.4,484,10.0207039337474
"14","17053","Ford County, Illinois",21.9,2.37213114754098,5771,18,10,665,23,44,1986,0.485184543406689,47.0975567492636,10,0.2,1053,10.2701648298059,298,2.8,1957,15.2,639,5,911,6.86510926902788
"15","17089","Kane County, Illinois",12.6,3.61539162112933,179637,5147,1522,19431,964,2507,39305,3.71248684847776,34.6292801594326,8942,5,60405,15.3438360479176,13589,3.3,45597,8.6,44025,8.3,28711,5.4031420312547
"16","17093","Kendall County, Illinois",6.8,4.39722222222222,40721,743,86,3594,343,456,7062,2.03580462169397,28.1304486628521,686,1.7,7355,8.19882284746065,3045,3.3,9574,7.6,6288,5,5208,4.13156266362035
"17","17009","Brown County, Illinois",21.8,2.80760473588342,2055,42,11,264,0,0,590,2.57907542579075,41.5571776155718,50,2.4,982,17.9001093693037,94,1.7,737,15.5,301,6.3,397,5.98974049487025
"18","17121","Marion County, Illinois",26.7,2.16388888888889,15946,210,47,1916,96,243,5063,1.61168945190016,45.8923868054685,41,0.3,3291,11.3217283610844,1709,5.7,6964,18.8,2396,6.5,2932,7.7683279018626
"19","17125","Mason County, Illinois",20.9,2.20478142076503,5977,49,11,875,26,73,1706,1.00384808432324,44.838547766438,0,0,1188,10.9959274342836,448,4,2258,16.8,561,4.2,1203,8.83195066441524
"20","17075","Iroquois County, Illinois",22.3,2.39981785063752,11741,90,27,1583,55,298,3423,0.996507963546546,45.6434715952645,128,1.1,2353,10.8233670653174,673,3,4343,15.9,1591,5.8,2430,8.73723572558608
"21","17025","Clay County, Illinois",24,2.20856102003643,5696,133,69,800,6,90,1623,3.54634831460674,44.2240168539326,45,0.8,1297,12.6290165530672,318,3,2576,19.6,837,6.4,1042,7.8422518250922
"22","17059","Gallatin County, Illinois",31.4,2.00710382513661,2293,28,1,307,30,92,729,1.2647187091147,50.5015263846489,8,0.3,528,13.1147540983607,105,2.5,1164,23,150,3,490,9.67614533965245
"23","17133","Monroe County, Illinois",11.5,3.90469034608379,13586,33,17,1932,71,278,3025,0.368025909023995,39.0549094656264,76,0.6,1193,4.49747417627988,534,1.9,3245,9.6,864,2.5,2342,6.85436665886209
"24","17181","Union County, Illinois",25.2,2.30532786885246,6654,125,38,1034,69,82,1795,2.44965434325218,44.7850916741809,8,0.1,1701,12.7139547051349,480,3.5,3015,17.9,977,5.8,1469,8.65747289014616
"25","17201","Winnebago County, Illinois",22.1,2.48128415300546,114779,1664,616,13437,744,1880,34589,1.98642608839596,44.1282813058138,2478,2.2,28021,12.8696682573291,11774,5.2,39216,13.9,16529,5.9,19532,6.85768856712509
"26","17153","Pulaski County, Illinois",38,1.57741347905282,2095,17,0,295,11,53,712,0.81145584725537,51.1217183770883,12,0.6,490,11.3847583643123,183,4.1,1203,21.9,298,5.4,520,9.43738656987296
"27","17169","Schuyler County, Illinois",18.5,2.3841985428051,2775,23,0,473,8,72,848,0.828828828828829,50.4864864864865,120,4.3,632,11.1878208532484,234,4,1359,19.7,647,9.4,683,9.82309794333381
"28","17045","Edgar County, Illinois",23.2,2.44294171220401,7542,71,4,1126,37,111,2157,0.994431185361973,45.4919119596924,14,0.2,1361,9.80688860066292,449,3.1,2897,16.9,845,4.9,1499,8.61147814097777
"29","17007","Boone County, Illinois",15.3,3.15446265938069,18571,293,218,2302,103,304,3870,2.75160196004523,35.4262021431264,454,2.4,5458,13.6371586337856,1697,4.1,6128,11.5,3187,6,3434,6.41425556157424
"30","17011","Bureau County, Illinois",18.8,2.61548269581056,13698,137,57,2169,48,228,3814,1.41626514819682,45.692801868886,146,1.1,2528,9.71373679154659,835,3.1,4391,13.4,1521,4.6,2886,8.71324195398829
"31","17029","Coles County, Illinois",28.2,2.10391621129326,20926,135,127,2209,141,482,6884,1.25203096626207,46.4302781229093,152,0.7,3354,7.96712432894674,1498,3.5,7801,15.4,3107,6.1,3317,6.45921367787666
