fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,metrics.icuHeadroomRatio,metrics.icuHeadroomDetails,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,riskLevels.icuHeadroomRatio,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,actuals.hospitalBeds.typicalUsageRate,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,actuals.icuBeds.typicalUsageRate,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,4,4,366,3,,,,,,,,,,,,0,,2372,2228,2021-07-19,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.711,0.668,0,
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,,other,5.1,,0.94,1.23,,,,1,4,1,4,1,4,4,733,0,,,,0,,,,0,,,,0,,3535,2941,2021-07-19,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.627,0.522,0,
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.042,other,16.9,,1.24,0.26,,,0.92,2,1,2,4,2,4,3,31588,179,,,,1149,474,14,0.66,47,44,3,0.71,0,,145649,129982,2021-07-19,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.506,0.451,0,
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.021,other,5.4,,1.3,1.0,,,,2,0,1,4,2,4,4,3934,22,,,,37,,,0.4,0,,,,0,,10060,9263,2021-07-19,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.547,0.504,0,
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,529.7,,1.53,0.86,,,,5,4,5,4,3,4,4,676,3,,,,,,,,,,,,0,,814,720,2021-07-19,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,0.974,0.861,0,
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,,other,13.6,,,,,,,2,4,2,4,4,4,4,113,0,,,,,,,,,,,,0,,1056,940,2021-07-19,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.504,0.448,0,
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,,other,0.0,,,,,,,0,4,0,4,4,4,4,233,2,,,,18,,,0.15,0,,,,0,,2262,1918,2021-07-19,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.46,0.39,0,
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.024,other,3.4,,1.15,0.93,,,0.63,2,0,1,4,2,4,0,8035,44,,,,175,44,1,0.46,13,8,0,0.66,0,,38851,36328,2021-07-19,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.401,0.375,0,
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,0.0,,,,,,,0,4,0,4,4,4,4,28,0,,,,,,,,,,,,0,,1520,1457,2021-07-19,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.601,0.576,0,
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,,other,0.0,,,,,,,0,4,0,4,4,4,4,0,0,,,,,,,,,,,,0,,1486,1314,2021-07-19,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.692,0.612,0,
02110,US,AK,Juneau City and Borough,county,,iso1:us#iso2:us-ak#fips:02110,,31974,0.028,other,6.3,,1.21,0.95,,,0.33,2,0,1,4,2,4,0,1494,3,,,,73,39,1,0.41,9,3,1,0.32,0,,21176,20069,2021-07-19,https://covidactnow.org/us/alaska-ak/county/juneau_city_and_borough,0.662,0.628,0,
02122,US,AK,Kenai Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02122,,58708,0.086,other,22.6,,1.43,0.59,,,0.56,3,1,2,4,3,4,0,4676,19,,,,77,49,0,0.56,11,6,0,0.69,0,,23055,21655,2021-07-19,https://covidactnow.org/us/alaska-ak/county/kenai_peninsula_borough,0.393,0.369,0,
02130,US,AK,Ketchikan Gateway Borough,county,,iso1:us#iso2:us-ak#fips:02130,,13901,,other,7.2,,1.31,1.12,,,0.21,2,4,1,4,2,4,0,668,1,,,,25,6,1,0.42,6,1,0,0.31,0,,7703,7197,2021-07-19,https://covidactnow.org/us/alaska-ak/county/ketchikan_gateway_borough,0.554,0.518,0,
02150,US,AK,Kodiak Island Borough,county,,iso1:us#iso2:us-ak#fips:02150,,12998,0.018,other,7.7,,1.19,1.16,,,0.36,2,0,1,4,2,4,0,1132,6,,,,25,7,0,0.22,2,0,1,,0,,6975,6548,2021-07-19,https://covidactnow.org/us/alaska-ak/county/kodiak_island_borough,0.537,0.504,0,
02158,US,AK,Kusilvak Census Area,county,,iso1:us#iso2:us-ak#fips:02158,,8314,0.024,other,41.2,,0.78,0.85,,,,3,0,3,4,0,4,4,1450,4,,,,,,,,,,,,0,,4644,4236,2021-07-19,https://covidactnow.org/us/alaska-ak/county/kusilvak_census_area,0.559,0.51,0,
02164,US,AK,Lake and Peninsula Borough,county,,iso1:us#iso2:us-ak#fips:02164,,1592,,other,0.0,,,,,,,0,4,0,4,4,4,4,127,0,,,,,,,,,,,,0,,874,773,2021-07-19,https://covidactnow.org/us/alaska-ak/county/lake_and_peninsula_borough,0.549,0.486,0,
02170,US,AK,Matanuska-Susitna Borough,county,,iso1:us#iso2:us-ak#fips:02170,,108317,0.033,other,5.7,,0.95,0.74,,,0.36,1,1,1,4,1,4,0,11868,58,,,,125,72,1,0.72,14,5,1,0.33,0,,33967,30904,2021-07-19,https://covidactnow.org/us/alaska-ak/county/matanuska_susitna_borough,0.314,0.285,0,
02180,US,AK,Nome Census Area,county,,iso1:us#iso2:us-ak#fips:02180,,10004,,other,2.9,,,,,,,1,4,1,4,4,4,4,414,0,,,,36,,,,0,,,,0,,6155,5895,2021-07-19,https://covidactnow.org/us/alaska-ak/county/nome_census_area,0.615,0.589,0,
02185,US,AK,North Slope Borough,county,,iso1:us#iso2:us-ak#fips:02185,,9832,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,4,4,1084,4,,,,20,,,0.06,0,,,,0,,2981,2815,2021-07-19,https://covidactnow.org/us/alaska-ak/county/north_slope_borough,0.303,0.286,0,
02188,US,AK,Northwest Arctic Borough,county,,iso1:us#iso2:us-ak#fips:02188,,7621,,other,5.6,,1.0,1.17,,,,1,4,1,4,1,4,4,628,2,,,,17,,,0.23,0,,,,0,,3627,3359,2021-07-19,https://covidactnow.org/us/alaska-ak/county/northwest_arctic_borough,0.476,0.441,0,
02195,US,AK,Petersburg Borough,county,,iso1:us#iso2:us-ak#fips:02195,,3266,,other,39.4,,1.28,1.14,,,,3,4,3,4,2,4,4,177,0,,,,12,3,0,0.26,0,,,,0,,1759,1690,2021-07-19,https://covidactnow.org/us/alaska-ak/county/petersburg_borough,0.539,0.517,0,
02198,US,AK,Prince of Wales-Hyder Census Area,county,,iso1:us#iso2:us-ak#fips:02198,,6203,0.02,other,2.3,,,,,,,1,0,1,4,4,4,4,180,3,,,,,,,,,,,,0,,3439,3101,2021-07-19,https://covidactnow.org/us/alaska-ak/county/prince_of_wales_hyder_census_area,0.554,0.5,0,
02220,US,AK,Sitka City and Borough,county,,iso1:us#iso2:us-ak#fips:02220,,8493,0.132,other,132.9,,1.59,0.62,,,,5,2,5,4,3,4,4,470,1,,,,52,,,0.37,0,,,,0,,5463,5133,2021-07-19,https://covidactnow.org/us/alaska-ak/county/sitka_city_and_borough,0.643,0.604,0,
02230,US,AK,Skagway Municipality,county,,iso1:us#iso2:us-ak#fips:02230,,1183,,other,24.2,,,,,,,2,4,2,4,4,4,4,23,0,,,,,,,,,,,,0,,767,731,2021-07-19,https://covidactnow.org/us/alaska-ak/county/skagway_municipality,0.648,0.618,0,
02240,US,AK,Southeast Fairbanks Census Area,county,,iso1:us#iso2:us-ak#fips:02240,,6893,0.024,other,6.2,,1.0,1.17,,,,1,0,1,4,1,4,4,770,5,,,,,,,,,,,,0,,1881,1686,2021-07-19,https://covidactnow.org/us/alaska-ak/county/southeast_fairbanks_census_area,0.273,0.245,0,
02261,US,AK,Valdez-Cordova Census Area,county,,iso1:us#iso2:us-ak#fips:02261,,9202,0.011,other,51.2,,,,,,,3,0,3,4,4,4,4,732,2,,,,24,6,1,0.22,0,,,,0,,4856,4596,2021-07-19,https://covidactnow.org/us/alaska-ak/county/valdez_cordova_census_area,0.528,0.499,0,
02275,US,AK,Wrangell City and Borough,county,,iso1:us#iso2:us-ak#fips:02275,,2502,0.02,other,5.7,,,,,,,1,0,1,4,4,4,4,65,0,,,,8,,,0.19,0,,,,0,,1251,1205,2021-07-19,https://covidactnow.org/us/alaska-ak/county/wrangell_city_and_borough,0.5,0.482,0,
02282,US,AK,Yakutat City and Borough,county,,iso1:us#iso2:us-ak#fips:02282,,579,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,4,4,74,2,,,,,,,,,,,,0,,420,372,2021-07-19,https://covidactnow.org/us/alaska-ak/county/yakutat_city_and_borough,0.727,0.642,0,
02290,US,AK,Yukon-Koyukuk Census Area,county,,iso1:us#iso2:us-ak#fips:02290,,5230,,other,2.7,,,,,,,1,4,1,4,4,4,4,370,4,,,,,,,,,,,,0,,3289,3063,2021-07-19,https://covidactnow.org/us/alaska-ak/county/yukon_koyukuk_census_area,0.629,0.586,0,
01001,US,AL,Autauga County,county,,iso1:us#iso2:us-al#fips:01001,,55869,0.138,other,12.3,,1.16,0.66,,,0.62,2,2,2,4,2,4,0,7342,113,,,,85,49,3,0.62,6,3,0,0.53,1,,18559,14636,2021-07-19,https://covidactnow.org/us/alabama-al/county/autauga_county,0.332,0.262,0,32145
01003,US,AL,Baldwin County,county,,iso1:us#iso2:us-al#fips:01003,,223234,0.24,other,34.2,,1.52,0.24,,,0.93,3,3,3,4,3,4,3,22709,323,,,,386,312,18,0.64,32,29,4,0.65,68,,83854,68493,2021-07-19,https://covidactnow.org/us/alabama-al/county/baldwin_county,0.376,0.307,0,148729
01005,US,AL,Barbour County,county,,iso1:us#iso2:us-al#fips:01005,,24686,0.112,other,16.8,,1.45,0.79,,,0.37,3,2,2,4,3,4,0,2384,60,,,,74,20,0,0.43,5,1,1,0.42,5,,8463,6971,2021-07-19,https://covidactnow.org/us/alabama-al/county/barbour_county,0.343,0.282,0,14883
01007,US,AL,Bibb County,county,,iso1:us#iso2:us-al#fips:01007,,22394,0.105,other,15.9,,1.41,0.91,,,,3,2,2,4,3,4,4,2718,65,,,,35,9,0,0.37,0,,,,6,,7280,5795,2021-07-19,https://covidactnow.org/us/alabama-al/county/bibb_county,0.325,0.259,0,12553
01009,US,AL,Blount County,county,,iso1:us#iso2:us-al#fips:01009,,57826,0.196,other,18.8,,1.19,0.66,,,0.14,2,2,2,4,2,4,0,7087,139,,,,25,10,0,0.5,6,0,0,0.34,9,,17662,14593,2021-07-19,https://covidactnow.org/us/alabama-al/county/blount_county,0.305,0.252,0,31011
01011,US,AL,Bullock County,county,,iso1:us#iso2:us-al#fips:01011,,10101,0.041,other,2.8,,1.0,1.17,,,,1,1,1,4,1,4,4,1251,42,,,,61,25,1,0.21,0,,,,0,,4521,3580,2021-07-19,https://covidactnow.org/us/alabama-al/county/bullock_county,0.448,0.354,0,7908
01013,US,AL,Butler County,county,,iso1:us#iso2:us-al#fips:01013,,19448,0.143,other,16.2,,1.13,0.86,,,0.45,2,2,2,4,2,4,0,2300,71,,,,94,6,1,0.18,7,3,0,0.38,1,,6723,5277,2021-07-19,https://covidactnow.org/us/alabama-al/county/butler_county,0.346,0.271,0,11406
