,GEOID,NAME,RiskFactor1_percent,IncomePoverty_ratio,Total,Occupants_Above1,Occupants_Above1_point5,Married_Above65,NoSpouse_MaleHH_Above65,NoSpouse_FemaleHH_Above65,Living_Alone,RiskFactor3_percent,RiskFactor2_percent,LanguageBarrier_Total,RiskFactor4a_percent,EducationalBarrier_Total,RiskFactor4b_percent,Above16_Unemployed_Total,RiskFactor5_percent,Disability_Total,RiskFactor6_percent,Total_Uninsured,RiskFactor7_percent,pop_64above_total,RiskFactor8_percent
1,17031630200,"Census Tract 6302, Cook County, Illinois",32,1.704098361,575,23,10,15,7,6,175,5.739130435,35.30434783,123,21.4,346,25.82089552,101,7.4,117,6.4,189,10.4,113,6.191780822
2,17031580700,"Census Tract 5807, Cook County, Illinois",24.5,2.140255009,1544,108,44,257,0,69,113,9.844559585,28.43264249,275,17.8,1485,34.46275238,339,7.5,711,12.1,1066,18.1,320,5.416384563
3,17031590600,"Census Tract 5906, Cook County, Illinois",21.3,2.096220401,1172,43,12,92,0,30,328,4.692832765,38.39590444,133,11.3,583,22.6407767,148,5.6,417,12.2,352,10.3,120,3.509798187
4,17031600700,"Census Tract 6007, Cook County, Illinois",22.9,2.062568306,1084,10,26,101,0,54,290,3.32103321,41.05166052,103,9.5,352,14.60580913,184,7.5,262,9.2,161,5.7,180,6.349206349
5,17031611900,"Census Tract 6119, Cook County, Illinois",52.5,1.115983607,574,16,0,22,0,15,251,2.787456446,50.17421603,61,10.6,337,30.1431127,134,11.4,116,7.1,194,11.8,123,7.504575961
6,17031804505,"Census Tract 8045.05, Cook County, Illinois",13.9,3.253096539,1517,29,9,122,0,33,574,2.504943968,48.05537245,46,3,197,7.394894895,11,0.4,238,6.9,177,5.1,123,3.570391872
7,17031804701,"Census Tract 8047.01, Cook County, Illinois",14.9,3.163570128,2461,101,0,233,0,0,817,4.104022755,42.6655831,124,5,270,5.822730214,165,3.3,533,9,821,13.8,269,4.393988893
8,17031804706,"Census Tract 8047.06, Cook County, Illinois",1.8,5.259562842,760,8,0,154,0,9,45,1.052631579,27.36842105,32,4.2,85,4.569892473,26,1.3,238,9.8,138,5.7,136,5.571487095
9,17031824005,"Census Tract 8240.05, Cook County, Illinois",7.2,5.105874317,2027,10,0,329,0,31,343,0.493339911,34.68179576,98,4.8,248,5.501330967,75,1.6,553,9.6,214,3.7,388,6.748999826
10,17031824006,"Census Tract 8240.06, Cook County, Illinois",8,5.904690346,1528,11,0,289,0,14,205,0.719895288,33.2460733,88,5.8,175,4.964539007,71,2,371,7.8,83,1.8,445,9.412013536
11,17031824113,"Census Tract 8241.13, Cook County, Illinois",8.3,4.433743169,2347,17,0,430,0,14,351,0.724328931,33.8730294,191,8.1,551,10.24925595,176,3.1,751,10.6,603,8.5,499,7.057991513
12,17031824114,"Census Tract 8241.14, Cook County, Illinois",5.3,4.960519126,1897,35,0,334,0,24,268,1.84501845,32.99947285,114,6,85,2.079765109,92,2.2,362,7,161,3.1,413,7.963748554
13,17031824115,"Census Tract 8241.15, Cook County, Illinois",10.6,3.38424408,1400,24,0,186,0,93,295,1.714285714,41,54,3.9,310,9.727016003,37,1.1,434,11.3,138,3.6,251,6.192943499
14,17031824116,"Census Tract 8241.16, Cook County, Illinois",15.9,3.10223133,2202,64,0,170,32,42,745,2.906448683,44.9137148,158,7.2,382,9.267345949,126,3,571,10.6,581,10.8,301,5.602084497
15,17031824117,"Census Tract 8241.17, Cook County, Illinois",4.4,4.676502732,3379,0,0,542,20,44,689,0,38.32494821,72,2.1,296,4.052573932,224,3,794,8.4,507,5.4,734,7.764730773
16,17031824119,"Census Tract 8241.19, Cook County, Illinois",3.7,4.854599271,2091,0,0,322,0,32,519,0,41.75035868,64,3.1,359,7.784041631,132,2.7,611,10.8,131,2.3,346,6.118479222
17,17031824120,"Census Tract 8241.20, Cook County, Illinois",8.4,4.595218579,3409,35,22,541,31,46,985,1.672044588,47.02258727,15,0.4,392,5.428610996,207,2.8,900,10.2,240,2.7,599,6.677814939
18,17031824121,"Census Tract 8241.21, Cook County, Illinois",11.5,3.714480874,1212,0,0,214,0,43,246,0,41.50165017,59,4.9,141,5.475728155,115,4.4,311,9.9,112,3.6,232,7.358071678
19,17031824122,"Census Tract 8241.22, Cook County, Illinois",10.7,4.211111111,2343,52,0,345,13,14,524,2.219376867,38.24157064,32,1.4,245,4.617414248,118,2.2,689,10.6,182,2.8,431,6.604351823
20,17031824123,"Census Tract 8241.23, Cook County, Illinois",13.6,3.26370674,2801,0,0,264,20,69,743,0,39.12888254,125,4.5,341,5.95113438,186,3.1,577,7.9,162,2.2,384,5.225911813
21,17031825303,"Census Tract 8253.03, Cook County, Illinois",13,3.036612022,1539,81,0,104,19,35,504,5.263157895,43.01494477,82,5.3,271,9.274469541,167,5.5,394,9.8,296,7.4,178,4.438902743
22,17031825304,"Census Tract 8253.04, Cook County, Illinois",9.4,3.223178506,1640,10,0,184,19,74,416,0.609756098,42.25609756,81,4.9,280,8.146639511,75,2.1,451,10.4,350,8.1,287,6.615952052
23,17031830007,"Census Tract 8300.07, Cook County, Illinois",31.4,2.16147541,1643,85,0,84,0,77,534,5.173463177,42.30066951,0,0,236,6.781609195,481,13.2,578,12.2,105,2.2,187,3.797725426
24,17031830008,"Census Tract 8300.08, Cook County, Illinois",11.7,3.877777778,1433,0,0,115,0,35,411,0,39.14863922,0,0,230,6.756756757,213,6.1,229,5.2,222,5.1,185,4.204545455
25,17031830500,"Census Tract 8305, Cook County, Illinois",31.7,1.726639344,1086,77,33,179,34,14,172,10.12891344,36.74033149,351,32.3,1133,40.72609633,166,5.6,337,8.6,931,23.9,398,10.20251218
26,17031830600,"Census Tract 8306, Cook County, Illinois",18.3,2.150591985,1974,55,67,26,0,17,705,6.180344478,37.89260385,227,11.5,617,16.51498929,193,5.1,436,9.2,687,14.5,82,1.732516374
